Date,Open,High,Low,Close,Adj Close,Volume
2018-10-29,219.190002,222.360001,205.429993,207.479996,204.309570,270606300
2018-11-05,204.300003,210.119995,198.169998,204.470001,201.345581,191199400
2018-11-12,199.000000,199.850006,185.929993,193.529999,191.237686,242226500
2018-11-19,190.000000,190.699997,172.100006,172.289993,170.249252,164498700
2018-11-26,174.240005,182.800003,170.259995,178.580002,176.464767,213749900
2018-12-03,184.460007,184.940002,168.300003,168.490005,166.494278,167526800
2018-12-10,165.000000,172.570007,163.330002,165.479996,163.519913,217537700
2018-12-17,165.449997,168.350006,149.630005,150.729996,148.944626,287694300
2018-12-24,148.149994,158.520004,146.589996,156.229996,154.379486,191160200
2018-12-31,158.529999,159.360001,142.000000,148.259995,146.503891,221962500
2019-01-07,148.699997,154.529999,145.899994,152.289993,150.486160,203706100
2019-01-14,150.850006,157.880005,149.220001,156.820007,154.962494,155292000
2019-01-21,156.410004,158.130005,151.699997,157.759995,155.891357,112501600
2019-01-28,155.789993,169.000000,153.660004,166.520004,164.547607,202296800
2019-02-04,167.410004,175.570007,167.279999,170.410004,168.391525,151398400
2019-02-11,171.050003,172.479996,169.250000,170.419998,169.123657,112229600
2019-02-18,169.710007,173.320007,169.490005,172.970001,171.654251,81250100
2019-02-25,174.160004,175.869995,172.729996,174.970001,173.639038,120880600
2019-03-04,175.690002,177.750000,169.500000,172.910004,171.594711,116779800
2019-03-11,175.490005,187.330002,175.350006,186.119995,184.704224,158133500
2019-03-18,185.800003,197.690002,184.729996,191.050003,189.596725,182343300
2019-03-25,191.509995,192.880005,184.580002,189.949997,188.505081,167838600
2019-04-01,191.639999,197.100006,188.380005,197.000000,195.501465,111540400
2019-04-08,196.419998,202.850006,196.210007,198.869995,197.357239,132006700
2019-04-15,198.580002,204.149994,198.009995,203.860001,202.309296,96335600
2019-04-22,202.830002,208.479996,202.119995,204.300003,202.745941,97495400
2019-04-29,204.399994,215.309998,199.110001,211.750000,210.139267,186455600
2019-05-06,204.289993,208.839996,192.770004,197.179993,195.680099,173663600
2019-05-13,187.710007,192.470001,182.850006,189.000000,188.284622,186415500
2019-05-20,183.520004,188.000000,177.809998,178.970001,178.292587,156970100
2019-05-27,178.919998,180.589996,174.990005,175.070007,174.407349,104691400
2019-06-03,175.600006,191.919998,170.270004,190.149994,189.430267,154348200
2019-06-10,191.809998,196.789993,190.300003,192.740005,192.010468,111843100
2019-06-17,192.899994,200.850006,192.169998,198.779999,198.027603,131658900
2019-06-24,198.539993,201.570007,195.289993,197.919998,197.170853,117368500
2019-07-01,203.169998,205.080002,200.649994,204.229996,203.456970,72815700
2019-07-08,200.809998,204.389999,198.410004,203.300003,202.530502,101600700
2019-07-15,204.089996,206.500000,202.360001,202.589996,201.823181,87391600
2019-07-22,203.649994,209.729996,203.610001,207.740005,206.953690,87153200
2019-07-29,208.460007,221.369995,201.630005,204.020004,203.247772,219770500
2019-08-05,197.990005,203.529999,192.580002,200.990005,200.229248,173211400
2019-08-12,199.619995,212.139999,199.149994,206.500000,206.500000,161095600
2019-08-19,210.619995,214.440002,201.000000,202.639999,202.639999,141905000
2019-08-26,205.860001,210.449997,203.320007,208.740005,208.740005,109989600
2019-09-02,206.429993,214.419998,204.220001,213.259995,213.259995,82487100
2019-09-09,214.839996,226.419998,211.070007,218.750000,218.750000,175366900
2019-09-16,217.729996,223.759995,217.470001,217.729996,217.729996,142290500
2019-09-23,218.949997,222.490005,217.139999,218.820007,218.820007,116445200
2019-09-30,220.899994,228.220001,215.130005,227.009995,227.009995,158621700
2019-10-07,226.270004,237.639999,224.330002,236.210007,236.210007,147176400
2019-10-14,234.899994,238.130005,233.199997,236.410004,236.410004,105677400
2019-10-21,237.520004,246.729996,237.320007,246.580002,246.580002,96991700
2019-10-28,247.419998,249.250000,246.720001,249.050003,249.050003,24112500
